Job Postings vs. Hires,,
,,
"3,108,585.00","7,427,614.00",
Avg. Monthly Postings (Jan 2023 - Dec 2023),Avg. Monthly Hires (Jan 2023 - Dec 2023),
Occupation,Avg Monthly Postings (Jan 2023 - Dec 2023),Avg Monthly Hires (Jan 2023 - Dec 2023)
Funeral Attendants,183,"1,398"
Mechanical Drafters,182,"1,662"
Telephone Operators,181,221
Court Reporters and Simultaneous Captioners,176,704
Food Batchmakers,176,"10,468"
"Directors, Religious Activities and Education",173,"5,891"
First-Line Supervisors of Firefighting and Prevention Workers,171,"1,782"
"Legal Support Workers, All Other",169,"1,708"
Orthotists and Prosthetists,158,354
Agricultural Inspectors,156,786
Print Binding and Finishing Workers,155,"1,355"
Atmospheric and Space Scientists,153,507
Correspondence Clerks,152,298
Reinforcing Iron and Rebar Workers,152,"1,557"
Social Science Research Assistants,151,"1,739"
Boilermakers,151,975
Motorcycle Mechanics,149,638
Flight Attendants,149,"3,532"
Craft Artists,147,432
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",146,"1,016"
Power Plant Operators,145,649
"Gambling Service Workers, All Other",145,890
Podiatrists,143,410
Subway and Streetcar Operators,140,457
Set and Exhibit Designers,135,898
Archivists,132,355
"Layout Workers, Metal and Plastic",128,294
Proofreaders and Copy Markers,128,261
Carpet Installers,127,755
Acupuncturists,127,468
Medical Dosimetrists,127,173
Genetic Counselors,125,127
Logging Equipment Operators,118,"1,248"
Pediatric Surgeons,117,50
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",115,252
Costume Attendants,113,"1,176"
"Arbitrators, Mediators, and Conciliators",111,252
Hydrologists,111,312
Agricultural Equipment Operators,109,"8,486"
"Judges, Magistrate Judges, and Magistrates",107,669
Semiconductor Processing Technicians,106,728
"Geological Technicians, Except Hydrologic Technicians",105,378
Environmental Engineering Technologists and Technicians,103,487
"Special Education Teachers, Secondary School",101,"4,192"
Soil and Plant Scientists,96,"1,207"
"Physical Scientists, All Other",96,"1,044"
"Explosives Workers, Ordnance Handling Experts, and Blasters",96,671
Continuous Mining Machine Operators,93,613
Food Science Technicians,90,907
"Special Education Teachers, Middle School",88,"2,279"
"Paving, Surfacing, and Tamping Equipment Operators",88,"2,947"
Historians,88,140
Rail Car Repairers,84,"1,655"
Hydrologic Technicians,83,139
Musical Instrument Repairers and Tuners,83,378
Fabric and Apparel Patternmakers,82,140
"Healthcare Practitioners and Technical Workers, All Other",80,"1,686"
"Morticians, Undertakers, and Funeral Arrangers",79,"1,052"
Broadcast Announcers and Radio Disc Jockeys,78,905
Sound Engineering Technicians,76,854
Paperhangers,75,151
Postmasters and Mail Superintendents,67,506
Commercial Divers,67,249
Ophthalmic Laboratory Technicians,65,716
"Electronic Equipment Installers and Repairers, Motor Vehicles",62,521
Dancers,61,"1,243"
"Maintenance Workers, Machinery",61,"2,358"
